produkt,kategorie,nakupni_cena_kc,poznamka
Radegast 0.5l 10°,Pivo,21.75,108.60/5bal
Radegast 0.5l 12°,Pivo,18.10,
Birell 0.5l,Pivo,15.60,
Braník 2l,Pivo,37.90,
Pilsner Urquell 0.5l,Pivo,23.90,
Jack Daniel's Black 0.7l,Lihoviny,419.00,439-20 sleva
Jack Daniel's Honey 0.7l,Lihoviny,399.00,439-20x2 sleva
Jägermeister 0.7l,Lihoviny,302.90,
Jägermeister 0.5l,Lihoviny,0.00,zdarma při nákupu 6x0.7l
Beefeater Pink Gin 0.7l,Lihoviny,307.90,319.90-5x12 sleva
Finlandia Vodka 0.7l,Lihoviny,279.00,
Captain Morgan Spiced 0.7l,Lihoviny,247.90,
Republica Honey 0.7l,Lihoviny,269.00,
Amundsen Vodka 0.5l,Lihoviny,147.90,
Božkov Originál 0.5l,Lihoviny,96.90,144.90-6x8 sleva
Bohemia Sekt brut 0.75l,Víno,64.00,129-7x10 sleva
Coca-Cola Zero 2l,Soft drinky,34.10,
Top Topic Malina 1.5l,Soft drinky,21.70,
Aquila voda 1.5l,Soft drinky,13.50,
Coca-Cola 1.5l,Soft drinky,27.90,
Schweppes 1.5l,Soft drinky,25.90,155.40-12 sleva → /6
Monster Ultra Zero 0.5l,Energy,24.90,
Monster Energy 0.5l,Energy,24.90,
Red Bull 0.25l,Energy,26.50,
Arašídy solené 60g,Snacky,8.90,
Kinder Bueno White,Snacky,14.10,
Lay's 60g,Snacky,14.90,
Havlík Trvanlivé tyčinky 90g,Snacky,9.90,
Marlboro Red,Tabák,147.93,1479.34/karton
LM Blue Label,Tabák,138.84,1388.43/karton
Kelímek 500ml,Doplňky,1.20,59.90/50ks
