order_id,produkt,kategorie,mnozstvi,cena_kc,cena_katalog_kc,v_systemu,poznamka
1,Beefeater Pink Gin 0.7l,Lihoviny,1,494,549,True,cena od spuštění zvýšena
1,Schweppes 1.5l,Soft drinky,1,53,59,True,cena od spuštění zvýšena
2,Znovín Tramín 0.75l,Víno,1,143,179,True,cena od spuštění zvýšena; skladem 0
2,Znovín Sauvignon 0.75l,Víno,1,143,179,True,cena od spuštění zvýšena; skladem 0
2,Marlboro Red,Tabák,1,,179,False,přidáno mimo systém; cena odhadnuta z katalogu
3,LM Blue Label,Tabák,1,168,168,True,
3,Kinder Bueno White,Snacky,1,55,55,True,
4,Captain Morgan Spiced 0.7l,Lihoviny,1,449,449,True,
4,Lay's 60g,Snacky,1,59,59,True,
5,Božkov Originál 0.5l,Lihoviny,1,269,269,True,
5,Božkov Originál 0.5l,Lihoviny,1,269,269,True,
6,Marlboro Red,Tabák,1,179,179,True,
6,Finlandia Vodka 0.7l,Lihoviny,1,499,499,True,
7,Radegast 0.5 12,Pivo,10,55,55,True,
