nazev,tier,doporuceni,driving_dist_km,courier_kc,net_flat_39,tiered_fee_kc,net_tiered,net_gain_tiered,min_fee_kc,fee_doporuceni,monthly_contribution_kc
Havířov,A,ponechat – aktivní marketing,16.8,180.0,24.0,99.0,84.0,60.0,75.0,99 Kč (pásmové),1603
Frýdek-Místek,A,ponechat – prioritní,5.8,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",6182
Pražmo,C,vyřadit,16.0,180.0,24.0,99.0,84.0,60.0,75.0,99 Kč (pásmové),2
Baška,A,ponechat – prioritní,7.3,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",378
Staré Město,A,ponechat – prioritní,3.3,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",689
Malenovice,C,vyřadit,18.6,180.0,24.0,99.0,84.0,60.0,75.0,99 Kč (pásmové),19
Sviadnov,A,ponechat – prioritní,4.7,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",134
Staříč,A,ponechat – prioritní,9.9,120.0,84.0,69.0,114.0,30.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",176
Krásná,B,podmíněně,20.5,250.0,-46.0,149.0,64.0,110.0,145.0,145 Kč (cost-based),55
Frýdlant nad Ostravicí,A,ponechat – aktivní marketing,14.5,180.0,24.0,69.0,54.0,30.0,75.0,69 Kč (pásmové),302
Dobrá,A,ponechat – prioritní,4.0,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",202
Nošovice,B,ponechat – pasivní,6.3,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",67
Stará Ves nad Ondřejnicí,A,ponechat – aktivní marketing,20.5,250.0,-46.0,149.0,64.0,110.0,145.0,145 Kč (cost-based),229
Sedliště,A,ponechat – prioritní,6.0,120.0,84.0,39.0,84.0,0.0,15.0,"39 Kč (OK, margin ≥ 60 Kč)",109
