zone,dist_km,courier_fee
5 km,8.07,120
5 km,4.61,120
5 km,3.84,120
5 km,1.42,120
5 km,7.29,120
5 km,6.5,120
5 km,5.01,120
5 km,2.98,120
5 km,3.2,120
5 km,3.69,120
5 km,6.63,120
5 km,4.94,120
5 km,8.22,120
5 km,4.3,120
5 km,7.29,120
5 km,3.74,120
5 km,3.99,120
5 km,2.01,120
5 km,4.99,120
5 km,4.58,120
5 km,1.88,120
5 km,13.39,180
5 km,3.31,120
5 km,1.25,120
5 km,7.25,120
5 km,5.91,120
5 km,5.01,120
5 km,7.22,120
5 km,1.24,120
5 km,5.01,120
5 km,1.65,120
5 km,4.28,120
5 km,6.5,120
5 km,1.26,120
5 km,8.22,120
5 km,4.49,120
5 km,8.07,120
5 km,4.98,120
5 km,3.9,120
5 km,1.49,120
5 km,4.01,120
5 km,4.88,120
5 km,4.94,120
5 km,3.83,120
5 km,3.69,120
5 km,4.0,120
5 km,3.91,120
5 km,2.89,120
5 km,10.43,180
5 km,3.2,120
5 km,3.03,120
5 km,5.25,120
5 km,0.93,120
5 km,4.35,120
5 km,3.9,120
5 km,4.61,120
5 km,3.75,120
5 km,6.3,120
5 km,2.29,120
5 km,4.61,120
5 km,2.66,120
5 km,2.83,120
5 km,1.9,120
5 km,4.61,120
5 km,2.63,120
5 km,2.1,120
5 km,0.93,120
5 km,7.28,120
5 km,3.97,120
5 km,1.88,120
5 km,1.28,120
5 km,6.93,120
5 km,2.28,120
5 km,4.61,120
5 km,3.84,120
5 km,2.07,120
5 km,5.91,120
5 km,2.55,120
5 km,3.82,120
5 km,2.45,120
5 km,4.61,120
5 km,3.84,120
5 km,4.94,120
5 km,4.52,120
5 km,2.66,120
5 km,4.56,120
5 km,2.36,120
5 km,5.96,120
5 km,1.09,120
5 km,1.88,120
5 km,3.98,120
5 km,6.81,120
5 km,1.69,120
5 km,3.97,120
5 km,2.33,120
5 km,8.67,120
5 km,5.96,120
5 km,6.09,120
5 km,2.42,120
5 km,3.23,120
5 km,6.8,120
5 km,2.92,120
5 km,2.59,120
5 km,4.05,120
5 km,3.59,120
5 km,4.27,120
5 km,2.4,120
5 km,3.9,120
5 km,1.88,120
5 km,5.69,120
5 km,1.44,120
5 km,4.49,120
5 km,4.61,120
5 km,4.61,120
5 km,2.21,120
5 km,6.3,120
5 km,1.81,120
5 km,2.49,120
5 km,3.9,120
5 km,1.65,120
5 km,7.29,120
5 km,5.01,120
5 km,7.67,120
5 km,5.13,120
5 km,0.91,120
5 km,2.4,120
5 km,4.19,120
5 km,6.44,120
5 km,8.18,120
5 km,6.53,120
5 km,5.85,120
5 km,2.16,120
5 km,6.29,120
5 km,4.61,120
5 km,2.24,120
5 km,4.58,120
5 km,1.99,120
5 km,2.74,120
5 km,3.33,120
5 km,2.83,120
5 km,2.67,120
5 km,2.93,120
5 km,4.1,120
5 km,1.73,120
5 km,5.25,120
5 km,1.81,120
5 km,5.09,120
5 km,4.61,120
5 km,3.69,120
5 km,0.86,120
5 km,6.93,120
5 km,5.25,120
5 km,1.78,120
5 km,3.4,120
5 km,4.68,120
5 km,3.23,120
5 km,4.61,120
5 km,6.99,120
5 km,7.0,120
5 km,5.77,120
5 km,7.13,120
5 km,3.46,120
5 km,1.49,120
5 km,2.49,120
5 km,3.98,120
5 km,5.01,120
5 km,3.1,120
5 km,6.79,120
5 km,1.88,120
5 km,6.63,120
5 km,6.29,120
5 km,3.45,120
5 km,7.27,120
5 km,6.12,120
5 km,4.06,120
5 km,4.02,120
5 km,1.65,120
5 km,4.56,120
5 km,4.15,120
5 km,7.0,120
5 km,4.19,120
5 km,6.5,120
5 km,5.61,120
5 km,1.12,120
5 km,8.07,120
5 km,2.85,120
5 km,7.29,120
5 km,3.74,120
5 km,2.45,120
5 km,2.41,120
5 km,2.21,120
5 km,2.16,120
5 km,1.0,120
5 km,2.56,120
5 km,3.69,120
5 km,4.31,120
5 km,1.99,120
5 km,5.25,120
5 km,6.1,120
5 km,7.0,120
5 km,3.39,120
5 km,3.11,120
5 km,1.81,120
5 km,4.06,120
5 km,4.02,120
5 km,3.05,120
5 km,3.76,120
5 km,3.69,120
5 km,1.88,120
5 km,5.01,120
5 km,1.98,120
5 km,7.29,120
5 km,8.07,120
5 km,5.07,120
5 km,6.5,120
5 km,5.07,120
5 km,1.42,120
5 km,3.65,120
5 km,7.29,120
5 km,2.51,120
5 km,1.72,120
5 km,6.5,120
5 km,2.59,120
5 km,2.85,120
5 km,6.64,120
5 km,3.98,120
5 km,3.77,120
5 km,2.78,120
5 km,5.61,120
5 km,2.11,120
5 km,7.29,120
5 km,7.0,120
5 km,5.96,120
5 km,3.45,120
5 km,7.0,120
5 km,4.52,120
5 km,3.69,120
5 km,6.5,120
5 km,0.93,120
5 km,4.99,120
5 km,8.15,120
5 km,3.08,120
5 km,6.5,120
5 km,3.43,120
5 km,5.01,120
5 km,6.67,120
5 km,8.67,120
5 km,8.06,120
5 km,3.98,120
5 km,5.51,120
5 km,6.89,120
5 km,7.0,120
5 km,5.77,120
5 km,1.14,120
5 km,3.9,120
5 km,3.48,120
5 km,3.31,120
5 km,6.8,120
5 km,5.01,120
5 km,8.12,120
5 km,3.37,120
5 km,3.83,120
5 km,7.29,120
5 km,1.89,120
5 km,7.28,120
5 km,4.56,120
5 km,7.92,120
5 km,4.49,120
5 km,6.4,120
5 km,8.07,120
5 km,1.85,120
5 km,1.64,120
5 km,2.16,120
5 km,1.04,120
5 km,2.44,120
5 km,3.84,120
5 km,6.8,120
5 km,5.07,120
5 km,4.1,120
5 km,4.41,120
5 km,7.0,120
5 km,3.4,120
5 km,6.47,120
5 km,6.5,120
5 km,2.22,120
5 km,5.61,120
5 km,7.93,120
5 km,2.56,120
5 km,1.4,120
5 km,5.01,120
5 km,3.43,120
5 km,7.86,120
5 km,4.61,120
5 km,7.25,120
5 km,2.13,120
5 km,2.74,120
5 km,1.9,120
5 km,2.24,120
5 km,4.61,120
5 km,2.65,120
5 km,4.15,120
5 km,5.01,120
5 km,7.29,120
5 km,2.75,120
5 km,6.29,120
5 km,8.18,120
5 km,4.61,120
5 km,9.0,120
5 km,2.5,120
5 km,4.28,120
5 km,3.82,120
5 km,6.5,120
5 km,3.83,120
5 km,6.47,120
5 km,6.5,120
5 km,6.5,120
5 km,3.88,120
5 km,2.82,120
5 km,6.5,120
5 km,2.47,120
5 km,7.41,120
5 km,6.93,120
5 km,1.99,120
5 km,2.7,120
5 km,7.92,120
5 km,3.69,120
5 km,2.67,120
5 km,3.98,120
5 km,4.58,120
5 km,5.32,120
5 km,1.04,120
5 km,3.36,120
5 km,2.41,120
5 km,3.22,120
5 km,2.93,120
5 km,1.86,120
5 km,4.08,120
5 km,3.17,120
5 km,4.09,120
5 km,3.98,120
5 km,3.57,120
5 km,4.02,120
5 km,3.72,120
5 km,2.11,120
5 km,3.43,120
5 km,3.0,120
5 km,3.97,120
5 km,3.88,120
5 km,4.29,120
5 km,2.55,120
5 km,8.07,120
5 km,3.34,120
5 km,2.19,120
5 km,3.34,120
5 km,7.92,120
5 km,7.54,120
5 km,7.0,120
5 km,4.01,120
5 km,5.38,120
5 km,0.98,120
5 km,7.29,120
5 km,2.83,120
5 km,3.64,120
5 km,8.07,120
5 km,3.51,120
5 km,4.28,120
5 km,3.78,120
5 km,6.5,120
5 km,6.89,120
5 km,10.43,180
5 km,1.84,120
5 km,3.72,120
5 km,4.28,120
5 km,4.3,120
5 km,4.61,120
5 km,4.0,120
5 km,7.19,120
5 km,7.22,120
5 km,2.43,120
5 km,4.29,120
5 km,3.83,120
5 km,3.33,120
5 km,4.28,120
5 km,6.89,120
5 km,3.69,120
5 km,8.04,120
5 km,4.18,120
5 km,2.89,120
5 km,6.79,120
5 km,13.39,180
5 km,4.98,120
5 km,1.67,120
5 km,0.66,120
5 km,7.29,120
5 km,2.13,120
5 km,1.21,120
5 km,1.4,120
5 km,3.45,120
5 km,7.05,120
5 km,3.69,120
10 km,5.4,120
10 km,7.42,120
10 km,3.83,120
10 km,7.65,120
10 km,11.89,180
10 km,5.1,120
10 km,12.23,180
10 km,3.64,120
10 km,9.77,120
10 km,4.06,120
10 km,4.32,120
10 km,8.71,120
10 km,11.71,180
10 km,8.99,120
10 km,5.86,120
10 km,6.59,120
10 km,11.97,180
10 km,8.97,120
10 km,3.34,120
10 km,6.27,120
10 km,6.9,120
10 km,8.97,120
10 km,6.5,120
10 km,3.47,120
10 km,6.99,120
10 km,11.38,180
10 km,6.25,120
10 km,6.64,120
10 km,5.93,120
10 km,6.13,120
10 km,2.33,120
10 km,10.72,180
10 km,7.54,120
10 km,7.99,120
10 km,7.09,120
10 km,6.66,120
10 km,4.18,120
10 km,11.14,180
10 km,10.36,180
10 km,3.07,120
10 km,7.06,120
10 km,4.47,120
10 km,10.12,180
10 km,8.22,120
10 km,8.55,120
10 km,3.94,120
10 km,11.16,180
10 km,4.09,120
10 km,5.45,120
10 km,10.51,180
10 km,4.94,120
10 km,2.98,120
10 km,2.41,120
10 km,9.5,120
10 km,9.04,120
10 km,9.17,120
10 km,11.14,180
10 km,2.85,120
10 km,10.72,180
10 km,10.41,180
10 km,13.07,180
10 km,1.8,120
10 km,3.07,120
10 km,5.77,120
10 km,6.63,120
10 km,9.06,120
10 km,10.86,180
10 km,9.16,120
10 km,9.39,120
10 km,4.06,120
10 km,4.42,120
10 km,10.36,180
10 km,2.23,120
10 km,8.22,120
10 km,9.67,120
10 km,7.28,120
10 km,3.64,120
10 km,3.08,120
10 km,5.57,120
10 km,4.1,120
10 km,4.69,120
10 km,7.94,120
10 km,4.6,120
10 km,6.97,120
10 km,4.1,120
10 km,9.64,120
10 km,11.47,180
10 km,2.98,120
10 km,6.8,120
10 km,7.0,120
10 km,9.84,120
10 km,10.7,180
10 km,8.01,120
10 km,10.16,180
10 km,5.38,120
10 km,1.25,120
10 km,5.93,120
10 km,6.22,120
10 km,9.09,120
10 km,2.69,120
10 km,7.0,120
10 km,5.94,120
10 km,6.8,120
10 km,7.92,120
10 km,7.19,120
10 km,6.74,120
10 km,8.25,120
10 km,5.01,120
10 km,6.53,120
10 km,9.26,120
10 km,6.52,120
10 km,10.2,180
10 km,11.07,180
10 km,4.88,120
10 km,10.2,180
10 km,7.56,120
10 km,2.28,120
10 km,4.0,120
10 km,11.59,180
10 km,12.39,180
10 km,6.15,120
10 km,9.94,120
10 km,8.49,120
10 km,3.11,120
10 km,5.05,120
10 km,1.81,120
10 km,6.18,120
10 km,4.92,120
10 km,8.96,120
10 km,5.52,120
10 km,8.08,120
10 km,2.98,120
10 km,6.8,120
10 km,2.98,120
10 km,1.09,120
10 km,13.07,180
10 km,10.95,180
10 km,4.49,120
10 km,3.81,120
10 km,7.0,120
10 km,8.69,120
10 km,7.13,120
10 km,6.44,120
10 km,11.06,180
10 km,7.56,120
10 km,3.4,120
10 km,6.91,120
10 km,5.83,120
10 km,6.08,120
10 km,11.55,180
10 km,7.42,120
10 km,7.59,120
10 km,6.2,120
10 km,8.14,120
10 km,6.5,120
10 km,9.2,120
10 km,2.11,120
10 km,9.06,120
10 km,10.88,180
10 km,6.62,120
10 km,8.92,120
10 km,7.77,120
10 km,8.0,120
10 km,6.8,120
10 km,4.41,120
10 km,10.72,180
10 km,5.94,120
10 km,7.08,120
10 km,2.35,120
10 km,7.42,120
10 km,6.5,120
10 km,9.76,120
10 km,7.41,120
10 km,7.99,120
10 km,2.85,120
10 km,6.74,120
10 km,3.0,120
10 km,8.21,120
10 km,4.28,120
10 km,9.13,120
10 km,12.39,180
10 km,6.47,120
10 km,6.91,120
10 km,5.93,120
10 km,3.62,120
10 km,5.91,120
10 km,5.03,120
10 km,7.51,120
10 km,5.84,120
10 km,11.59,180
10 km,7.39,120
10 km,5.93,120
10 km,10.16,180
10 km,9.5,120
10 km,8.99,120
10 km,9.26,120
10 km,5.63,120
10 km,1.4,120
10 km,2.67,120
10 km,6.77,120
10 km,10.36,180
10 km,4.54,120
10 km,5.77,120
10 km,11.59,180
10 km,11.07,180
10 km,6.63,120
10 km,5.05,120
10 km,10.21,180
10 km,5.24,120
10 km,6.77,120
10 km,9.52,120
10 km,5.42,120
10 km,3.94,120
10 km,7.0,120
10 km,11.32,180
10 km,4.78,120
10 km,5.52,120
10 km,1.01,120
10 km,4.73,120
10 km,5.91,120
10 km,4.41,120
10 km,9.76,120
10 km,4.27,120
10 km,11.07,180
10 km,1.81,120
10 km,5.26,120
10 km,8.75,120
10 km,6.8,120
10 km,6.4,120
10 km,5.11,120
10 km,8.41,120
10 km,9.59,120
10 km,4.65,120
10 km,11.67,180
10 km,7.29,120
10 km,7.84,120
10 km,10.7,180
10 km,8.28,120
10 km,9.76,120
10 km,4.65,120
10 km,3.48,120
10 km,7.73,120
10 km,11.31,180
10 km,6.29,120
10 km,3.97,120
10 km,9.03,120
10 km,7.77,120
10 km,3.98,120
10 km,4.32,120
10 km,5.41,120
10 km,8.64,120
10 km,5.33,120
10 km,11.35,180
10 km,3.79,120
10 km,5.56,120
10 km,9.03,120
10 km,5.5,120
10 km,8.07,120
10 km,6.71,120
10 km,10.83,180
10 km,4.98,120
10 km,6.34,120
10 km,8.01,120
10 km,11.73,180
10 km,9.64,120
10 km,10.2,180
10 km,3.84,120
10 km,8.69,120
10 km,5.13,120
10 km,8.07,120
10 km,11.7,180
10 km,13.44,180
10 km,7.29,120
10 km,4.28,120
10 km,5.61,120
10 km,5.52,120
10 km,5.03,120
10 km,1.01,120
10 km,9.01,120
10 km,1.4,120
10 km,5.86,120
10 km,4.64,120
10 km,6.0,120
10 km,11.32,180
10 km,3.87,120
10 km,9.47,120
10 km,3.72,120
10 km,6.91,120
10 km,8.49,120
10 km,7.0,120
10 km,9.84,120
10 km,3.29,120
10 km,6.92,120
10 km,7.94,120
10 km,7.1,120
10 km,6.3,120
10 km,8.8,120
10 km,6.74,120
10 km,7.39,120
10 km,6.4,120
10 km,4.94,120
10 km,8.55,120
10 km,10.83,180
10 km,4.88,120
10 km,6.5,120
10 km,5.13,120
10 km,6.27,120
10 km,11.31,180
10 km,7.13,120
10 km,6.99,120
10 km,4.56,120
10 km,10.16,180
10 km,8.49,120
10 km,2.49,120
10 km,7.61,120
10 km,6.63,120
10 km,8.15,120
10 km,11.46,180
10 km,9.7,120
10 km,5.01,120
10 km,2.4,120
10 km,6.63,120
10 km,10.18,180
10 km,6.77,120
10 km,6.86,120
10 km,6.3,120
10 km,7.0,120
10 km,8.01,120
10 km,4.53,120
10 km,11.15,180
10 km,5.01,120
10 km,8.96,120
10 km,6.5,120
10 km,6.08,120
10 km,8.58,120
10 km,6.31,120
10 km,11.31,180
10 km,1.17,120
10 km,6.67,120
10 km,4.58,120
10 km,6.02,120
10 km,7.73,120
10 km,2.98,120
10 km,3.39,120
10 km,7.51,120
10 km,3.46,120
10 km,9.06,120
10 km,4.72,120
10 km,5.25,120
10 km,2.51,120
10 km,12.39,180
10 km,9.84,120
10 km,11.31,180
10 km,8.55,120
10 km,3.46,120
10 km,6.01,120
10 km,9.98,120
10 km,8.52,120
10 km,6.22,120
10 km,9.24,120
10 km,4.61,120
10 km,6.08,120
10 km,8.62,120
10 km,3.27,120
10 km,4.86,120
10 km,11.83,180
10 km,10.36,180
10 km,10.2,180
10 km,7.25,120
10 km,3.42,120
10 km,3.2,120
10 km,9.2,120
10 km,3.69,120
10 km,11.71,180
10 km,10.43,180
