scenario,trial,month,monthly_pl_kc
konzervativni,0,1,-770.09
konzervativni,0,2,-625.22
konzervativni,0,3,-638.89
konzervativni,0,4,-394.9
konzervativni,0,5,-680.43
konzervativni,0,6,-657.72
konzervativni,0,7,-730.17
konzervativni,0,8,-601.34
konzervativni,0,9,-509.55
konzervativni,0,10,-205.42
konzervativni,0,11,-680.59
konzervativni,0,12,-616.64
konzervativni,1,1,-701.92
konzervativni,1,2,-652.67
konzervativni,1,3,-699.22
konzervativni,1,4,-483.43
konzervativni,1,5,-523.82
konzervativni,1,6,-338.25
konzervativni,1,7,-241.06
konzervativni,1,8,-550.91
konzervativni,1,9,-355.66
konzervativni,1,10,-400.38
konzervativni,1,11,-545.11
konzervativni,1,12,-197.56
konzervativni,2,1,-552.27
konzervativni,2,2,-685.26
konzervativni,2,3,-778.45
konzervativni,2,4,-800.0
konzervativni,2,5,-105.97
konzervativni,2,6,-649.41
konzervativni,2,7,-769.7
konzervativni,2,8,-412.1
konzervativni,2,9,-17.15
konzervativni,2,10,-88.99
konzervativni,2,11,-621.8
konzervativni,2,12,-702.48
konzervativni,3,1,-749.8
konzervativni,3,2,-652.81
konzervativni,3,3,-531.99
konzervativni,3,4,-757.17
konzervativni,3,5,-301.73
konzervativni,3,6,-667.71
konzervativni,3,7,-375.94
konzervativni,3,8,-292.88
konzervativni,3,9,-531.0
konzervativni,3,10,-505.89
konzervativni,3,11,-395.96
konzervativni,3,12,-687.71
konzervativni,4,1,-511.81
konzervativni,4,2,-784.3
konzervativni,4,3,-464.5
konzervativni,4,4,-739.72
konzervativni,4,5,-388.39
konzervativni,4,6,-403.45
konzervativni,4,7,-773.65
konzervativni,4,8,-788.55
konzervativni,4,9,-353.36
konzervativni,4,10,-690.71
konzervativni,4,11,-608.08
konzervativni,4,12,-508.73
konzervativni,5,1,-800.0
konzervativni,5,2,-430.37
konzervativni,5,3,-557.23
konzervativni,5,4,-638.12
konzervativni,5,5,-692.76
konzervativni,5,6,-439.37
konzervativni,5,7,-314.77
konzervativni,5,8,-622.86
konzervativni,5,9,-595.14
konzervativni,5,10,-443.37
konzervativni,5,11,-436.77
konzervativni,5,12,-506.64
konzervativni,6,1,-741.76
konzervativni,6,2,-593.75
konzervativni,6,3,-800.0
konzervativni,6,4,-720.2
konzervativni,6,5,-521.19
konzervativni,6,6,-461.72
konzervativni,6,7,-431.56
konzervativni,6,8,-735.86
konzervativni,6,9,-108.08
konzervativni,6,10,-572.31
konzervativni,6,11,-679.99
konzervativni,6,12,-681.49
konzervativni,7,1,-623.1
konzervativni,7,2,-494.92
konzervativni,7,3,-690.79
konzervativni,7,4,-498.37
konzervativni,7,5,-350.55
konzervativni,7,6,-434.65
konzervativni,7,7,-671.26
konzervativni,7,8,-630.17
konzervativni,7,9,-45.45
konzervativni,7,10,-401.69
konzervativni,7,11,-522.35
konzervativni,7,12,-361.43
konzervativni,8,1,-800.0
konzervativni,8,2,-528.62
konzervativni,8,3,-767.47
konzervativni,8,4,-228.55
konzervativni,8,5,-803.19
konzervativni,8,6,-350.06
konzervativni,8,7,-514.37
konzervativni,8,8,-753.05
konzervativni,8,9,-777.53
konzervativni,8,10,-593.12
konzervativni,8,11,-306.03
konzervativni,8,12,47.08
konzervativni,9,1,-691.3
konzervativni,9,2,-409.68
konzervativni,9,3,-582.39
konzervativni,9,4,-647.96
konzervativni,9,5,-514.66
konzervativni,9,6,-672.94
konzervativni,9,7,-365.53
konzervativni,9,8,-624.73
