kod,nazev,rank,tier,hh_celkem,obyvatelstvo_celkem,vek_15_64,driving_dist_km,net_per_order_kc,expected_orders_month,monthly_contribution_kc,nightlife_count,nightlife_per_1k,byt_domy_byty,byt_podil,cache_points,s_trh,s_pl,s_byty,s_nightlife,skore_total,vyrazeno
555088,Havířov,1,A,33388,68153.0,43119.0,16.8,24.0,66.8,1603,66,0.97,26577,0.796,14,10.0,2.0,3.9192516001969473,1.078976640711902,5.85,False
598003,Frýdek-Místek,2,A,23003,53698.0,34471.0,5.8,84.0,46.0,3864,141,2.63,19201,0.835,23,6.8835338955076075,7.0,4.111275233874938,2.925472747497219,5.76,False
568813,Pražmo,3,C,65,878.0,557.0,16.0,24.0,0.1,2,0,0.0,132,2.031,2,0.0,2.0,10.0,0.0,2.4,False
598011,Baška,4,A,1412,3882.0,2457.0,7.3,84.0,2.8,235,11,2.83,122,0.086,5,0.40422530984605226,7.0,0.42343673067454446,3.1479421579532816,2.14,False
552551,Staré Město,5,A,2558,1440.0,945.0,3.3,84.0,5.1,428,3,2.08,82,0.032,4,0.7481319208954776,7.0,0.15755785327424912,2.313681868743048,2.12,False
552593,Malenovice,6,C,239,779.0,490.0,18.6,24.0,0.5,12,7,8.99,6,0.025,4,0.05221618701797557,2.0,0.12309207287050714,10.0,1.95,False
569631,Sviadnov,7,A,635,2106.0,1388.0,4.7,84.0,1.3,109,4,1.9,74,0.117,2,0.17105302643819584,7.0,0.5760709010339734,2.1134593993325916,1.91,False
552569,Staříč,8,A,840,2098.0,1352.0,9.9,84.0,1.7,143,4,1.91,69,0.082,8,0.23257209735017856,7.0,0.4037419990152634,2.1245828698553946,1.9,False
549673,Krásná,9,B,211,648.0,418.0,20.5,79.0,0.4,32,2,3.09,11,0.052,20,0.04381358221048525,6.58,0.25603151157065485,3.4371523915461624,1.9,False
598143,Frýdlant nad Ostravicí,10,A,3936,9789.0,5948.0,14.5,24.0,7.9,190,24,2.45,1930,0.49,10,1.161660114635537,2.0,2.4126046282619398,2.725250278086763,1.81,False
