kod,nazev,obyvatelstvo_celkem,muzi,zeny,vek_0_14,vek_15_64,vek_65plus,prumerny_vek
554821,Ostrava,282450.0,137575.0,144875.0,41686.0,182237.0,58527.0,43.1925
555088,Havířov,68153.0,33032.0,35121.0,9547.0,43119.0,15487.0,44.7992
598003,Frýdek-Místek,53698.0,26146.0,27552.0,8058.0,34471.0,11169.0,43.3417
599069,Orlová,27581.0,13458.0,14123.0,4122.0,18115.0,5344.0,43.2762
598933,Český Těšín,23130.0,11159.0,11971.0,3519.0,14726.0,4885.0,43.5929
599565,Kopřivnice,21019.0,10416.0,10603.0,3274.0,13618.0,4127.0,42.7292
599344,Frenštát pod Radhoštěm,10576.0,5159.0,5417.0,1619.0,6654.0,2303.0,43.6484
598143,Frýdlant nad Ostravicí,9789.0,4674.0,5115.0,1592.0,5948.0,2249.0,43.9843
599808,Příbor,8222.0,4028.0,4194.0,1342.0,5133.0,1747.0,43.1677
599085,Petřvald,7460.0,3658.0,3802.0,1313.0,4724.0,1423.0,42.0378
599107,Rychvald,7456.0,3699.0,3757.0,1248.0,4698.0,1510.0,42.9187
598879,Vratimov,7261.0,3552.0,3709.0,1217.0,4685.0,1359.0,42.1981
598798,Šenov,6278.0,3127.0,3151.0,1000.0,4001.0,1277.0,43.3589
599158,Těrlicko,4646.0,2317.0,2329.0,774.0,2916.0,956.0,43.3463
552739,Horní Suchá,4231.0,2162.0,2069.0,704.0,2674.0,853.0,43.1488
598038,Brušperk,4111.0,1992.0,2119.0,709.0,2535.0,867.0,42.8663
598011,Baška,3882.0,1953.0,1929.0,651.0,2457.0,774.0,42.8246
598925,Albrechtice,3742.0,1877.0,1865.0,583.0,2414.0,745.0,43.244
598569,Paskov,3679.0,1797.0,1882.0,569.0,2404.0,706.0,43.0469
598551,Palkovice,3366.0,1703.0,1663.0,603.0,2122.0,641.0,41.9115
598089,Dobrá,3049.0,1528.0,1521.0,486.0,1893.0,670.0,43.7496
598321,Kozlovice,2985.0,1472.0,1513.0,583.0,1831.0,571.0,41.7496
598739,Stará Ves nad Ondřejnicí,2753.0,1387.0,1366.0,455.0,1747.0,551.0,42.8429
598542,Ostravice,2488.0,1249.0,1239.0,368.0,1535.0,585.0,45.1531
598178,Horní Bludovice,2477.0,1221.0,1256.0,423.0,1648.0,406.0,42.0967
598356,Kunčice pod Ondřejníkem,2321.0,1163.0,1158.0,416.0,1402.0,503.0,43.2204
598135,Fryčovice,2292.0,1132.0,1160.0,358.0,1462.0,472.0,43.2456
598348,Krmelín,2289.0,1105.0,1184.0,373.0,1463.0,453.0,43.0378
569631,Sviadnov,2106.0,1059.0,1047.0,354.0,1388.0,364.0,41.0821
598691,Hukvaldy,2105.0,1060.0,1045.0,396.0,1293.0,416.0,42.5209
552569,Staříč,2098.0,1045.0,1053.0,351.0,1352.0,395.0,42.3213
598836,Václavovice,2026.0,1012.0,1014.0,369.0,1293.0,364.0,41.8228
549665,Raškovice,1987.0,951.0,1036.0,365.0,1151.0,471.0,43.0868
507423,Janovice,1904.0,945.0,959.0,328.0,1188.0,388.0,42.4007
568830,Řepiště,1851.0,939.0,912.0,327.0,1171.0,353.0,42.1731
599956,Tichá,1813.0,908.0,905.0,345.0,1142.0,326.0,40.6947
599140,Stonava,1721.0,856.0,865.0,281.0,1116.0,324.0,42.9102
512184,Metylovice,1705.0,854.0,851.0,316.0,1028.0,361.0,43.0754
599743,Petřvald,1650.0,801.0,849.0,293.0,989.0,368.0,43.7885
599506,Jistebník,1622.0,821.0,801.0,297.0,1023.0,302.0,41.8718
556971,Ropice,1618.0,769.0,849.0,300.0,1018.0,300.0,41.9864
598674,Sedliště,1587.0,809.0,778.0,303.0,1036.0,248.0,39.9039
507237,Komorní Lhotka,1521.0,763.0,758.0,267.0,926.0,328.0,43.2226
599603,Lichnov,1513.0,791.0,722.0,272.0,962.0,279.0,41.9481
598399,Lučina,1477.0,751.0,726.0,268.0,908.0,301.0,42.0362
552551,Staré Město,1440.0,708.0,732.0,211.0,945.0,284.0,43.0896
598160,Hnojník,1439.0,692.0,747.0,219.0,873.0,347.0,45.288
598101,Dolní Domaslavice,1393.0,695.0,698.0,260.0,882.0,251.0,42.0951
555291,Chotěbuz,1329.0,665.0,664.0,266.0,839.0,224.0,40.5609
552542,Dobratice,1304.0,640.0,664.0,244.0,812.0,248.0,41.237
598445,Morávka,1189.0,616.0,573.0,218.0,707.0,264.0,43.6354
507181,Pržno,1082.0,592.0,490.0,177.0,750.0,155.0,41.5518
552623,Třanovice,1045.0,522.0,523.0,193.0,657.0,195.0,41.8435
552577,Pstruží,1020.0,522.0,498.0,203.0,659.0,158.0,40.0608
552674,Střítež,996.0,497.0,499.0,189.0,642.0,165.0,41.0904
598046,Bruzovice,983.0,508.0,475.0,195.0,631.0,157.0,39.6465
512192,Horní Domaslavice,978.0,496.0,482.0,220.0,633.0,125.0,37.7065
552518,Nošovice,972.0,476.0,496.0,149.0,628.0,195.0,43.2027
568791,Soběšovice,954.0,470.0,484.0,151.0,603.0,200.0,44.5157
552691,Žabeň,899.0,454.0,445.0,172.0,564.0,163.0,40.3754
568813,Pražmo,878.0,432.0,446.0,126.0,557.0,195.0,44.844
552658,Smilovice,852.0,459.0,393.0,177.0,526.0,149.0,40.5188
552682,Vyšní Lhoty,841.0,451.0,390.0,115.0,527.0,199.0,45.0779
568716,Skotnice,826.0,410.0,416.0,176.0,504.0,146.0,40.2361
552593,Malenovice,779.0,401.0,378.0,138.0,490.0,151.0,41.9211
568686,Mošnov,749.0,382.0,367.0,135.0,469.0,145.0,42.3251
569755,Trnávka,726.0,369.0,357.0,129.0,459.0,138.0,41.9752
552488,Vojkovice,710.0,361.0,349.0,147.0,467.0,96.0,38.4366
568643,Kateřinice,686.0,335.0,351.0,119.0,410.0,157.0,43.4271
568741,Albrechtičky,667.0,329.0,338.0,108.0,411.0,148.0,43.485
552631,Horní Tošanovice,655.0,327.0,328.0,122.0,457.0,76.0,38.5534
549673,Krásná,648.0,323.0,325.0,89.0,418.0,141.0,44.4985
552640,Řeka,543.0,274.0,269.0,83.0,339.0,121.0,44.1538
598364,Lhotka,543.0,266.0,277.0,88.0,357.0,98.0,42.6565
552607,Dolní Tošanovice,371.0,183.0,188.0,75.0,249.0,47.0,39.2143
568163,Žermanice,357.0,175.0,182.0,63.0,234.0,60.0,40.9062
598275,Kaňovice,338.0,165.0,173.0,70.0,215.0,53.0,39.997
552500,Pazderna,322.0,166.0,156.0,82.0,194.0,46.0,36.9317
552615,Vělopolí,294.0,143.0,151.0,57.0,188.0,49.0,40.568
552526,Nižní Lhoty,290.0,137.0,153.0,59.0,182.0,49.0,40.3
